TEMPERATURE,CPU_USAGE,CPU_1,CPU_2,CPU_3,CPU_4
46.2,29.6,31.0,25.0,24.5,34.3
44.8,28.3,27.3,31.6,31.0,25.3
45.7,29.1,21.4,29.7,34.3,35.4
45.2,26.6,19.6,43.3,17.5,31.4
46.2,34.0,43.0,51.5,45.9,17.2
46.7,27.4,36.7,27.3,29.0,24.2
47.7,29.8,23.7,30.3,19.8,35.4
47.2,28.5,25.8,21.6,36.0,28.0
46.2,29.0,28.3,26.3,35.0,25.5
47.2,27.6,31.7,23.0,35.3,31.1
45.7,28.6,52.5,25.0,17.3,16.5
46.2,28.2,32.0,36.7,22.5,22.4
46.7,29.3,47.9,22.8,17.5,28.7
47.2,28.7,27.8,22.7,24.2,39.6
46.2,29.1,31.3,30.3,32.7,28.1
46.7,29.2,23.5,22.2,24.8,42.0
46.7,26.9,23.2,27.5,32.7,28.6
47.2,26.9,27.0,30.6,18.8,36.4
46.7,27.9,21.9,33.3,31.6,26.0
47.7,28.0,17.6,49.0,22.0,18.0
48.2,28.7,32.3,24.5,23.2,23.2
46.7,28.7,28.0,39.2,20.4,24.5
47.7,28.3,21.1,25.0,27.2,36.7
46.7,28.2,28.6,11.1,29.7,41.2
46.7,25.3,18.2,21.8,21.0,45.3
47.7,27.5,25.0,27.0,24.5,32.7
48.2,28.2,17.9,47.5,21.8,27.5
47.2,28.9,30.6,49.0,21.8,12.0
47.7,28.2,45.9,13.4,25.5,18.7
47.2,29.8,42.0,18.4,26.7,22.4
46.7,28.3,38.0,28.1,17.2,33.3
47.7,29.0,46.9,28.7,18.0,22.0
46.7,29.1,52.5,23.8,18.0,18.8
47.7,28.2,30.2,30.7,24.5,21.4
48.2,28.0,16.3,40.4,35.1,22.8
47.7,28.2,27.2,51.0,19.0,22.0
48.2,30.5,26.5,32.4,36.7,19.6
48.2,29.3,52.4,23.2,17.0,19.2
47.7,28.1,32.4,29.3,21.0,29.2
47.7,27.6,33.0,21.0,45.9,20.8
47.2,28.9,29.7,24.5,23.5,41.3
47.2,28.3,32.0,22.4,28.1,34.7
48.7,31.4,21.6,50.0,21.2,18.9
48.7,30.1,32.7,32.7,19.4,22.2
47.7,28.6,29.2,25.3,32.7,27.3
47.2,28.0,29.6,27.7,24.0,35.0
48.2,29.4,21.2,41.8,22.0,33.3
47.2,27.6,21.4,26.0,38.0,26.3
49.1,29.9,37.0,32.7,24.0,21.1
48.2,29.4,33.0,25.8,34.0,25.0
48.2,25.6,34.7,23.2,29.7,31.7
48.7,28.6,34.0,26.7,24.2,32.4
47.7,30.0,23.2,51.0,24.0,20.0
47.2,28.1,20.6,32.0,28.6,29.6
48.2,27.8,28.1,29.3,23.5,35.0
48.2,28.6,35.1,17.3,29.6,32.7
47.7,28.4,22.2,45.2,26.0,23.2
47.7,29.6,17.2,48.5,29.2,26.0
48.2,29.6,22.4,27.5,24.0,38.8
47.7,28.9,21.8,52.5,16.8,23.5
47.7,27.0,24.5,26.0,25.7,38.5
47.2,28.6,31.6,29.3,25.3,38.2
47.2,29.0,32.3,24.0,23.5,36.3
47.2,28.5,51.5,25.8,23.2,15.8
48.2,28.5,41.8,23.5,23.2,28.4
47.7,26.6,41.7,21.4,24.2,23.2
47.7,30.2,21.1,27.5,30.9,32.0
47.7,28.6,22.5,21.2,28.6,37.8
47.2,28.9,21.0,14.4,26.3,35.7
48.7,30.0,26.3,28.2,47.4,20.2
48.2,28.3,38.6,31.7,21.2,21.0
48.2,28.9,29.2,19.6,47.0,24.0
47.7,29.1,23.5,25.8,41.0,20.8
47.7,28.6,29.0,19.0,21.4,24.8
46.7,28.3,39.8,27.3,33.0,19.2
48.2,22.2,44.6,24.2,21.2,24.0
47.7,28.7,22.2,36.7,25.0,27.8
48.2,27.9,23.5,24.8,17.3,53.9
49.1,27.8,11.9,18.4,18.3,6.1
48.7,29.1,32.3,33.7,31.7,17.2
48.7,9.3,6.0,12.2,7.1,3.0
47.7,27.5,24.2,13.1,42.2,30.9
47.7,27.3,22.2,22.0,43.4,26.0
47.2,28.9,20.0,9.1,28.4,18.6
48.2,29.5,46.5,22.0,27.0,22.2
47.7,17.7,25.8,33.0,28.4,31.6
46.7,28.8,19.4,29.2,22.7,41.7
48.2,28.8,29.2,26.7,31.0,31.1
48.7,29.3,50.5,27.6,15.5,24.5
47.7,27.2,24.2,28.7,33.7,24.0
47.2,27.3,52.0,21.6,19.2,21.4
48.2,27.9,37.1,23.0,12.2,34.7
47.7,28.1,41.8,24.8,17.2,33.0
48.2,27.6,33.0,30.3,30.9,24.2
48.2,28.6,24.5,27.5,23.8,35.4
48.2,30.1,21.9,30.2,37.0,20.2
48.2,28.5,27.8,49.0,18.4,16.0
47.2,30.3,32.3,39.2,17.0,25.5
47.7,28.6,23.5,32.7,30.7,30.3
47.7,26.0,19.6,29.3,30.7,33.3
48.7,29.3,25.8,34.3,16.3,36.3
48.7,29.0,20.0,41.4,20.8,33.0
48.7,28.2,34.7,29.7,22.9,20.6
48.7,27.2,32.7,25.0,35.7,16.7
48.7,28.4,26.0,39.0,27.3,20.6
48.7,28.6,14.6,38.1,29.3,30.6
48.7,29.7,21.0,37.1,23.3,32.3
47.2,31.2,27.5,33.7,25.0,31.6
48.7,28.1,28.6,28.3,20.6,36.1
47.7,27.7,17.0,28.0,21.0,48.5
48.7,26.4,36.4,23.7,20.4,36.6
48.7,27.9,24.0,29.0,31.6,32.7
48.2,29.8,20.4,33.7,31.6,30.7
48.7,29.0,32.7,25.0,35.1,26.0
48.7,28.8,29.0,34.0,29.6,21.6
49.1,30.2,26.8,31.4,33.3,21.4
49.1,29.5,38.0,21.8,30.3,19.4
48.2,29.1,33.3,26.5,30.6,22.0
47.2,27.2,35.3,13.4,7.1,24.8
48.7,27.1,30.3,21.6,18.2,45.5
48.2,30.3,35.1,26.5,23.0,33.0
47.2,29.5,27.8,31.4,33.0,31.1
48.2,28.6,22.2,22.2,32.4,35.4
47.7,29.6,32.7,23.2,35.3,22.9
48.2,28.7,30.6,27.7,32.3,16.5
47.2,29.4,29.7,31.7,19.2,37.3
48.2,30.2,33.3,29.0,23.2,25.3
47.7,27.6,50.0,27.7,18.8,23.0
48.2,26.0,37.0,17.5,30.4,24.0
48.7,26.6,19.8,34.3,36.0,28.3
48.2,23.0,37.0,24.0,22.0,19.4
47.7,28.2,38.4,34.7,17.8,21.8
48.2,29.2,31.6,31.3,22.5,26.3
47.7,27.7,37.8,16.0,22.8,32.0
48.2,30.2,20.8,33.7,23.7,34.3
47.2,28.5,29.6,18.6,27.3,39.4
48.2,28.6,29.5,41.2,23.2,17.3
47.7,29.4,27.1,33.0,26.9,22.2
48.7,28.3,39.6,19.0,29.9,23.1
48.2,27.2,25.0,26.7,20.4,42.6
48.2,27.6,34.7,27.2,12.2,41.0
48.7,27.8,48.5,29.1,16.3,19.0
48.7,25.0,27.3,27.3,30.8,30.0
49.1,30.4,32.0,36.6,27.8,18.2
48.7,28.3,28.3,28.0,37.0,25.3
49.1,28.3,26.0,25.5,38.4,28.7
48.7,29.3,22.2,32.7,31.6,29.6
48.2,28.2,37.4,26.7,28.7,22.7
47.7,28.4,47.0,18.0,15.0,29.9
47.7,29.4,28.1,19.4,17.0,45.4
48.7,30.3,21.0,16.5,24.5,53.5
48.2,28.2,32.0,29.0,18.2,42.0
48.7,29.7,28.0,38.0,26.7,31.4
48.7,29.3,18.4,19.6,51.5,26.0
48.7,28.0,29.1,20.2,46.9,26.9
48.7,30.8,23.2,40.2,28.4,23.2
48.7,29.9,25.0,12.8,50.0,22.8
48.2,28.8,49.5,26.3,26.0,15.2
48.7,30.3,51.0,20.0,26.0,18.0
48.2,30.7,27.3,20.6,31.0,36.4
48.7,29.7,44.0,19.2,15.7,36.0
48.7,30.3,24.2,26.7,31.0,32.7
48.7,26.6,30.0,31.0,27.0,29.6
48.7,28.5,39.2,34.7,15.5,23.0
49.6,28.7,49.5,21.2,27.5,16.8
48.2,26.3,50.0,27.7,17.8,22.3
48.2,27.0,35.0,29.3,23.0,29.3
49.1,30.5,24.5,30.9,32.3,23.2
48.2,28.0,35.4,23.8,34.7,18.0
48.7,29.6,8.3,29.9,49.0,27.7
48.2,26.3,36.9,32.0,22.0,23.7
48.7,28.6,53.0,23.5,20.4,16.0
49.1,27.5,26.5,29.4,17.3,36.6
48.2,28.8,31.6,21.8,38.4,18.4
48.7,28.3,19.0,49.0,28.0,24.3
48.7,29.2,24.8,43.7,20.0,23.3
49.1,28.9,28.6,45.5,22.8,24.0
49.1,29.1,50.0,25.5,13.1,26.7
49.1,30.4,29.5,33.7,18.4,31.4
49.1,27.9,25.3,24.8,30.6,38.6
48.7,29.0,25.3,37.5,22.8,24.0
48.7,29.7,24.7,26.5,36.2,26.0
48.7,27.3,34.0,27.7,24.5,24.2
48.7,29.0,21.0,30.7,35.2,28.7
49.1,28.4,22.4,49.0,20.2,24.5
49.1,28.6,19.4,41.6,23.2,28.3
48.2,29.7,31.6,30.6,28.3,20.0
48.2,29.5,31.6,33.7,25.2,29.1
48.2,28.1,32.3,21.6,30.6,34.0
48.2,30.1,23.2,13.1,29.8,25.5
48.2,28.0,26.5,19.0,39.0,35.0
48.7,30.2,20.4,28.8,50.5,20.0
48.2,29.3,25.5,31.0,29.0,29.0
48.2,29.2,33.7,29.4,21.6,29.6
48.2,29.5,16.0,52.0,21.2,25.7
48.2,27.2,12.4,49.5,29.3,25.3
48.2,28.5,29.0,43.7,22.1,30.4
49.1,31.2,19.4,47.9,23.2,21.8
49.1,29.6,15.6,34.7,28.8,31.7
49.1,29.1,21.4,21.4,39.6,28.3
48.2,28.6,34.7,34.7,23.8,23.0
47.7,27.5,27.8,22.4,27.7,20.2
49.1,28.5,30.3,19.2,38.6,24.0
48.2,28.4,32.7,27.3,25.5,29.4
49.1,29.9,16.3,24.8,47.5,26.3
47.7,29.8,21.4,22.0,50.0,18.7
48.7,26.2,31.0,31.1,45.0,17.0
49.1,29.6,40.4,36.4,19.6,16.2
48.7,31.3,20.8,18.4,44.0,29.3
48.2,27.9,26.0,31.3,21.8,38.0
48.2,29.6,25.5,22.5,15.8,52.5
48.7,27.6,27.3,34.7,28.7,32.7
47.7,29.1,23.2,30.4,23.0,42.4
48.2,17.7,30.0,20.8,16.2,46.1
49.6,27.1,17.8,17.0,29.4,52.5
48.7,27.2,27.0,19.4,31.6,34.7
49.1,29.4,24.8,22.4,16.2,52.0
48.7,29.5,23.1,34.7,22.2,34.3
49.6,27.9,34.3,39.4,22.7,25.2
48.2,26.4,33.7,32.6,27.5,15.2
49.1,26.8,24.5,26.5,29.3,35.1
49.1,28.9,30.3,34.3,25.5,30.6
48.7,28.7,15.0,23.5,51.5,22.7
49.1,29.2,24.7,21.2,34.4,27.6
49.1,29.3,25.7,22.3,49.0,22.0
49.1,28.5,28.7,15.2,46.0,32.7
48.2,28.9,32.7,30.9,27.6,22.2
48.7,28.3,28.2,32.7,30.5,24.8
48.2,29.0,26.0,22.0,50.0,16.5
48.2,30.1,37.3,29.2,35.9,14.3
48.2,26.6,29.7,17.5,25.2,15.3
48.7,27.6,23.7,27.0,48.5,15.5
48.2,29.4,25.5,18.2,49.0,27.5
48.7,30.1,28.6,23.5,48.5,17.3
49.6,28.0,39.6,24.7,28.6,29.8
48.7,29.0,25.0,47.5,25.5,22.0
49.6,26.8,18.2,29.3,24.0,40.6
48.2,27.5,15.3,52.5,25.8,14.3
48.7,28.2,17.2,48.0,31.1,21.4
49.1,28.0,23.7,50.5,29.7,13.6
49.6,29.0,23.2,28.0,27.6,33.3
49.1,26.4,42.0,28.0,18.2,26.9
48.2,30.8,32.6,29.6,23.0,22.3
48.7,28.3,23.0,33.3,45.7,20.0
47.7,30.8,25.3,27.6,36.6,27.0
49.1,30.2,15.3,42.0,32.7,19.2
48.7,30.1,30.1,23.8,20.8,46.5
48.2,29.0,28.6,25.7,24.0,34.0
47.7,27.7,44.0,27.3,27.0,24.8
48.7,28.7,32.0,26.0,29.3,27.6
47.7,29.1,35.6,23.0,26.5,25.8
48.2,28.0,29.1,40.0,20.0,26.3
49.1,25.0,31.0,33.7,18.0,36.1
48.2,28.1,44.8,30.5,22.7,19.0
48.7,29.0,24.5,33.0,25.5,31.7
49.1,28.6,16.5,37.8,13.7,30.3
49.1,29.4,34.7,19.2,30.6,29.4
48.7,25.8,45.5,27.8,9.3,18.8
49.1,28.5,27.3,28.7,30.4,30.2
48.7,28.1,30.7,25.0,26.5,31.6
49.1,30.1,24.8,18.8,23.2,12.1
48.7,28.7,25.0,24.0,54.0,16.3
48.7,18.3,28.9,27.3,31.6,24.0
48.2,27.1,28.2,22.2,25.3,42.2
49.1,29.4,50.0,15.2,24.7,21.0
49.6,28.2,22.5,13.1,16.3,9.4
48.7,27.0,25.3,30.3,32.3,28.4
47.7,20.2,21.6,52.0,17.0,17.6
48.7,27.7,13.0,23.5,26.0,46.0
49.6,30.3,29.7,23.7,48.5,15.0
48.2,29.1,10.1,13.3,24.2,28.0
48.7,27.2,27.3,27.8,27.7,30.6
48.7,27.2,29.3,27.6,29.3,31.3
48.2,28.7,33.3,27.5,27.0,37.0
49.1,27.8,50.0,25.3,24.7,13.1
49.6,27.2,28.3,25.0,27.6,36.7
48.2,28.2,23.5,17.2,52.9,18.1
48.7,29.2,25.3,22.4,35.4,33.7
48.7,29.9,33.7,26.3,28.7,28.6
49.1,29.0,33.7,24.2,49.0,9.4
50.1,29.6,19.4,29.7,45.4,18.8
49.1,27.7,18.4,22.2,56.2,18.0
48.7,10.8,21.2,26.9,27.0,43.1
48.7,28.2,23.7,33.0,29.4,32.0
48.2,28.1,23.0,31.6,23.7,38.8
47.7,28.2,36.7,29.0,33.0,21.4
49.1,28.9,33.0,20.8,37.8,22.2
49.1,27.0,21.3,12.1,28.7,45.5
48.7,29.8,21.4,14.1,20.0,56.0
49.6,31.0,34.0,25.3,25.7,29.0
48.2,28.3,36.7,21.8,15.3,24.5
48.2,29.5,24.7,20.2,28.0,36.4
49.1,28.4,29.1,26.7,24.0,34.3
49.6,26.6,17.7,43.7,32.4,18.2
47.7,27.8,34.3,24.0,30.1,19.8
48.7,28.8,12.5,46.0,29.3,25.7
49.1,28.8,22.2,52.0,22.9,12.4
49.1,30.1,27.0,27.0,22.5,42.0
48.7,27.3,31.6,22.5,41.2,17.2
47.7,27.9,38.4,28.6,20.2,24.0
49.1,27.6,37.2,28.0,16.2,23.3
48.7,27.1,36.1,15.3,30.1,25.5
48.2,29.7,27.3,26.2,29.3,30.0
48.7,30.1,32.0,33.0,29.7,21.4
49.1,28.0,22.4,13.9,55.9,23.5
48.7,29.6,15.2,20.6,15.3,16.0
49.1,27.8,32.0,31.4,22.3,30.3
48.7,27.8,33.3,23.8,39.0,23.0
49.1,27.6,23.5,22.9,46.4,25.5
49.6,28.5,33.0,24.8,22.0,36.0
48.7,28.3,40.2,10.1,22.0,35.6
49.6,28.9,28.6,21.2,27.1,34.0
48.7,26.8,22.4,23.2,48.5,23.8
48.7,28.1,27.5,27.7,28.9,32.7
48.2,30.5,29.0,28.9,30.0,22.9
47.7,27.6,21.0,20.0,50.5,22.0
49.1,28.1,27.6,15.3,19.0,51.0
49.1,28.4,14.4,19.0,15.0,32.7
48.2,27.3,21.9,23.0,24.0,47.1
48.7,27.9,29.3,33.0,18.6,28.0
49.6,27.0,24.5,26.7,31.6,32.7
49.1,26.1,25.5,52.1,17.7,15.8
49.6,28.6,47.5,27.0,27.8,14.0
48.7,28.6,38.0,21.2,29.6,26.0
48.7,28.3,54.0,16.7,32.4,15.3
50.1,29.5,48.0,21.2,24.5,20.8
49.1,28.6,29.6,35.6,21.8,31.3
48.7,31.4,35.6,27.1,26.5,28.7
49.1,28.0,28.4,38.6,34.4,19.4
47.7,27.3,27.0,29.6,18.6,24.5
49.1,29.9,24.7,31.3,27.3,33.0
49.6,30.1,28.9,15.2,18.2,48.0
48.7,28.9,22.7,14.3,41.2,32.0
49.1,29.8,27.6,28.0,32.3,32.0
49.6,27.0,15.3,26.5,18.2,50.5
48.7,29.0,33.0,24.8,21.8,31.4
48.2,31.8,45.2,22.0,23.3,28.3
49.1,27.0,51.9,26.7,12.5,21.6
48.7,27.7,31.6,20.6,16.0,42.3
48.7,27.3,25.3,29.6,21.2,36.6
48.2,28.4,23.7,28.3,32.0,31.4
49.1,23.7,30.0,31.6,22.2,29.9
49.1,28.9,22.2,24.0,20.2,48.0
48.7,30.1,29.0,25.3,25.5,30.9
47.7,28.8,24.2,25.5,17.3,49.0
48.7,30.0,19.8,27.6,18.0,48.0
48.2,28.8,30.9,25.5,26.8,31.0
48.2,26.4,33.7,35.3,20.0,25.3
48.7,29.0,29.2,28.3,29.1,32.0
48.2,26.4,21.6,25.7,21.6,39.4
48.7,26.6,23.7,27.6,37.9,23.2
49.1,29.5,16.5,41.2,39.2,18.0
48.2,26.6,31.7,25.7,24.0,32.0
47.7,28.6,21.6,16.2,22.7,52.4
48.2,29.6,21.6,16.5,18.0,48.0
48.7,30.0,28.0,32.0,18.4,29.6
49.1,26.6,41.2,34.0,14.4,28.0
48.2,28.9,28.6,31.3,34.0,24.8
49.1,30.2,32.7,34.3,22.2,24.5
48.2,28.3,18.4,40.2,30.3,21.4
48.7,29.3,33.0,18.6,25.3,31.3
49.6,28.1,37.9,24.8,24.2,27.7
49.1,28.0,16.7,28.4,21.6,48.0
48.7,29.2,29.4,30.7,19.2,43.7
49.1,29.2,17.7,32.4,22.8,44.9
48.7,30.4,17.2,26.3,27.3,45.6
48.7,30.2,23.0,21.8,29.7,46.4
48.2,29.0,18.6,27.5,19.4,48.0
48.7,29.0,20.0,27.0,27.2,48.0
47.7,28.5,13.7,36.6,26.7,40.4
48.7,29.3,31.3,29.0,22.9,28.0
48.7,28.2,26.3,17.3,28.4,41.8
49.1,28.2,36.7,27.7,26.0,27.7
48.2,31.2,33.3,29.3,21.1,27.3
48.7,28.0,30.2,19.0,35.4,30.4
48.7,28.2,29.0,25.3,16.7,42.4
49.1,29.5,13.1,36.7,17.0,20.8
49.6,27.3,21.6,36.6,24.3,25.0
49.1,28.8,24.3,45.5,22.9,19.8
49.1,30.6,25.5,34.0,31.0,21.4
48.7,28.5,39.4,20.8,25.7,26.5
49.1,28.2,24.7,19.0,32.7,35.4
50.1,27.0,29.1,25.3,21.6,40.0
48.7,27.6,23.2,45.2,23.5,26.5
49.1,28.0,27.6,17.8,22.5,49.0
49.6,30.5,22.4,33.7,10.2,43.1
49.1,29.4,35.0,42.6,40.2,33.7
49.1,26.8,32.0,33.0,19.2,28.0
48.7,26.4,37.1,16.8,17.2,20.8
48.7,27.9,52.0,24.2,15.5,25.5
48.7,30.9,27.7,44.0,21.2,24.0
49.1,28.5,23.5,24.3,23.8,51.5
49.1,27.8,32.3,27.3,33.3,25.5
47.7,29.4,30.1,29.4,24.2,33.3
48.7,27.6,26.0,31.4,30.6,23.2
47.7,29.5,24.7,27.5,25.5,29.4
49.6,26.8,48.0,25.3,8.0,26.5
49.1,27.8,25.5,34.7,22.5,32.4
49.1,28.3,15.5,32.3,41.6,28.9
48.7,29.2,32.6,22.8,33.3,28.6
49.1,27.1,33.7,26.0,28.6,21.0
49.6,29.9,32.3,23.2,28.2,28.1
49.6,29.4,26.7,17.9,43.3,21.6
48.7,27.4,27.3,26.3,40.2,26.3
49.6,28.5,20.4,33.7,35.7,21.2
48.7,28.8,14.6,30.6,41.0,14.9
48.7,28.6,31.3,19.2,48.0,15.6
49.1,27.0,24.5,26.3,48.0,17.8
49.1,30.4,26.6,29.0,30.1,32.7
48.7,29.0,20.0,26.0,30.4,40.2
49.1,29.0,42.2,32.4,24.5,18.8
48.7,28.3,16.2,22.7,51.5,18.4
49.6,24.9,40.4,11.2,35.8,26.2
49.6,27.9,24.2,22.5,32.3,28.9
49.1,27.0,33.7,42.4,18.0,15.6
49.1,30.2,22.2,18.4,12.1,29.6
48.2,28.3,23.4,21.6,17.8,51.5
48.7,20.6,33.0,35.1,17.2,30.6
48.7,27.8,50.0,26.5,13.9,25.3
48.2,22.8,26.2,33.0,27.1,33.0
49.1,28.6,17.2,19.0,9.1,23.8
48.7,29.8,46.6,17.5,31.1,15.6
48.2,17.4,23.5,30.6,32.0,24.2
50.1,30.1,31.7,25.3,31.1,27.0
49.6,26.0,22.7,26.7,27.3,34.0
48.7,28.1,25.3,31.0,34.3,29.6
49.6,29.2,28.3,44.6,17.0,22.9
49.1,28.6,23.2,28.7,35.0,33.0
49.1,28.1,32.0,28.3,30.5,32.6
48.7,29.6,28.4,23.5,23.3,50.5
49.6,30.3,31.7,27.8,35.0,22.4
48.7,31.0,41.4,21.8,35.4,13.0
48.7,28.3,38.8,16.3,29.6,28.6
48.2,27.2,24.7,16.5,18.0,52.5
48.7,28.6,23.2,29.3,15.8,50.0
48.2,28.0,32.3,41.6,17.5,20.4
48.7,29.2,22.2,49.0,23.3,21.4
49.1,27.8,20.4,48.0,22.3,19.0
49.1,28.0,28.0,50.0,13.3,27.7
48.2,28.8,27.3,27.3,36.6,32.0
48.7,27.7,25.5,28.7,22.4,35.0
48.7,28.7,35.7,35.7,17.6,20.2
49.1,30.1,14.3,34.0,38.8,26.7
48.7,27.9,24.0,22.0,16.3,52.1
49.1,26.4,34.3,24.0,30.0,19.1
48.7,28.5,19.0,7.1,9.9,29.5
49.1,28.4,20.6,12.0,39.8,39.0
48.7,26.3,26.7,31.4,26.7,37.8
48.2,29.4,17.2,22.0,54.0,19.4
48.7,29.3,33.0,30.0,30.0,29.4
49.6,29.3,16.0,23.2,23.5,50.5
48.2,27.9,19.2,21.6,21.0,55.3
49.1,27.6,36.4,24.5,34.7,30.0
49.1,29.8,40.0,17.9,27.8,28.0
48.7,29.6,29.6,32.3,26.0,29.6
48.7,29.0,26.0,16.2,52.5,18.6
49.1,29.6,32.6,20.2,31.0,28.0
49.6,28.0,31.3,9.9,25.7,14.9
48.2,30.6,22.4,28.4,36.0,24.5
49.6,30.2,34.3,20.8,37.4,27.5
49.1,28.9,31.7,13.4,47.1,22.8
49.1,30.7,23.5,26.0,36.6,31.1
49.1,28.5,20.0,37.4,29.0,27.6
48.2,30.7,21.9,36.0,21.0,31.7
49.1,28.9,24.2,46.9,24.0,16.2
48.2,27.5,25.5,24.0,33.0,19.4
48.2,28.3,26.5,19.0,54.5,14.0
48.2,27.5,34.0,29.3,18.0,35.4
49.1,29.0,24.2,34.7,33.3,22.8
48.7,20.9,22.7,14.0,36.4,23.8
48.7,27.4,29.0,28.0,28.0,35.0
49.6,30.1,27.3,19.4,31.7,37.3
48.2,27.7,25.3,33.3,31.7,30.0
48.7,29.4,31.3,24.0,33.0,24.0
48.7,28.6,46.8,29.0,27.2,24.1
50.1,29.8,40.2,18.0,40.0,17.2
49.1,29.2,35.7,24.0,28.3,29.6
49.1,30.5,48.0,24.0,23.2,25.7
50.1,28.8,24.0,34.0,27.6,29.3
48.7,29.4,37.8,26.0,22.2,25.3
48.7,28.1,34.3,27.8,24.0,28.7
49.1,30.0,32.4,34.3,26.3,26.7
49.1,27.9,20.4,30.3,33.3,30.4
49.1,28.6,25.3,33.7,13.4,35.3
50.1,28.0,26.3,28.3,19.0,47.4
49.1,29.5,29.9,35.0,30.4,17.3
49.6,28.5,25.2,54.1,23.8,14.1
49.1,28.0,27.0,34.3,27.8,26.5
49.6,29.4,36.0,36.0,24.2,25.5
49.1,30.2,24.5,48.5,22.1,31.7
49.6,29.3,20.0,50.5,16.5,27.6
48.2,28.6,16.0,27.3,32.3,37.0
47.2,28.6,18.7,39.4,21.2,33.0
48.7,28.8,15.3,43.7,24.8,32.4
49.6,29.4,13.4,42.7,22.9,31.1
49.1,27.7,27.1,32.0,13.0,35.4
48.2,30.6,40.4,24.3,27.3,28.6
49.1,29.1,27.4,23.5,33.3,21.0
48.2,27.7,38.1,18.0,27.7,19.8
48.2,28.7,24.5,45.7,19.6,22.9
48.7,26.8,24.2,31.7,18.2,39.8
49.1,28.4,25.3,29.7,28.7,36.7
49.6,27.7,37.8,27.8,23.0,21.2
49.1,30.3,27.8,32.4,29.3,30.7
48.2,28.6,28.4,24.5,45.8,11.1
48.7,29.1,27.8,19.0,21.2,34.0
49.1,30.0,26.2,33.7,28.6,28.9
49.1,27.3,23.8,25.0,26.3,41.9
49.1,29.5,14.3,30.3,39.0,23.7
49.1,27.5,14.1,51.0,25.0,23.5
49.1,28.4,35.3,31.6,23.2,18.6
48.2,27.0,35.3,24.2,24.0,29.9
49.6,27.5,30.5,31.3,24.2,28.0
48.7,30.8,26.8,46.5,39.4,30.9
48.2,27.9,35.0,19.6,30.6,27.3
49.1,27.9,28.6,19.6,34.0,32.3
49.1,28.7,29.1,28.9,26.5,23.2
48.7,31.7,23.2,18.8,41.2,22.5
48.7,26.9,20.0,22.3,44.3,16.2
48.2,26.5,21.0,20.0,49.5,18.4
49.1,26.6,24.0,27.8,25.8,25.5
49.1,27.4,19.1,13.1,49.0,19.8
48.7,26.9,22.7,25.5,35.3,16.0
48.2,26.5,11.7,21.0,51.0,20.8
49.1,25.6,18.1,22.2,25.0,34.7
49.1,26.8,31.3,20.2,26.5,22.9
48.7,22.5,27.7,20.6,51.5,12.4
49.1,27.3,35.7,21.0,23.8,21.3
48.7,25.4,19.0,15.8,17.8,14.9
49.6,25.3,37.4,26.7,29.7,19.0
48.7,26.4,35.4,20.2,27.7,24.0
49.1,26.1,20.4,21.8,28.7,34.3
48.7,26.2,22.3,30.7,20.0,39.0
49.6,24.9,22.2,29.0,21.6,37.3
47.7,26.2,13.1,18.9,31.0,37.6
48.7,26.0,15.0,27.3,37.0,23.2
49.1,26.3,16.2,25.5,52.0,13.1
49.6,26.5,19.2,25.2,41.7,15.2
49.6,24.6,28.6,24.7,23.0,27.5
48.7,26.5,23.8,23.3,31.3,31.0
47.7,12.8,27.6,31.1,25.5,21.2
47.7,27.5,34.7,13.1,17.8,33.7
48.7,26.1,14.3,52.0,19.0,19.0
48.2,23.8,13.1,34.3,37.3,26.9
